Drive;Fundo;Data Implantacao;Data Vencimento;Sumula/Nota Tecnica;Tipo de Limite; Limite 
12033;BB NAT;27/08/2021;27/08/2023;Súmula 2021/1101;ESTRESSE;0.1
12029;BB DUNAS;27/08/2021;27/08/2023;Súmula 2021/1101;ESTRESSE;0.07
12030;BB ROCKET BLUE;27/08/2021;27/08/2023;Súmula 2021/1101;ESTRESSE;0.07
12031;BB LADUBEROZ;27/08/2021;27/08/2023;Súmula 2021/1101;ESTRESSE;0.05
5071;BB PREVIDENCIÁRIO RENDA FIXA TP XXI FI;29/06/2021;29/06/2022;Súmula 2021/0793;ESTRESSE;0.14
10002034;BB RENDA FIXA ATIVA PLUS LP FIC FI;24/02/2022;24/02/2024;NT 2017/0359;ESTRESSE;0.08
10002035;BB RENDA FIXA ATIVA PLUS PRIVATE LP FIC FI;24/02/2022;24/02/2024;NT 2017/0359;ESTRESSE;0.08
10002027;BB ENERGISA FIC FI RENDA FIXA LONGO PRAZO;24/02/2022;24/02/2024;NT 2019/0742;ESTRESSE;0.032
4012;BB RF AMAPÁ PREV;24/02/2022;24/02/2024;Súmula 2022/0216;ESTRESSE;0.2
200111;BB RF AMETISTA;24/02/2022;24/02/2024;Súmula 2022/0217;ESTRESSE;0.3
11580;BB MUSTANG;27/08/2021;27/08/2023;Súmula 2021/1101;ESTRESSE;0.15
11759;BB YPE;27/08/2021;27/08/2023;Súmula 2021/1101;ESTRESSE;0.07
5003;BB MAR;27/08/2021;27/08/2023;Súmula 2021/1101;ESTRESSE;0.1
4942;BB SIMA;27/08/2021;27/08/2023;Súmula 2021/1101;ESTRESSE;0.1
10555;BB PRIVATE 32;27/08/2021;27/08/2023;Súmula 2021/1101;ESTRESSE;0.15
11824;BB MCT;27/08/2021;27/08/2023;Súmula 2021/1101;ESTRESSE;0.1
5052;BB IVI 27;23/07/2021;23/07/2023;Súmula 2021/0951;ESTRESSE;0.3
